game_variant,algorithm,depths,starting_player,winner,time,rounds,avg_round_time
Nim,Negamax,[14  7],1,1,0.2959489000204485,14,0.021139206
Nim,Negamax,[4 3],1,2,0.08506199999828823,17,0.005003647
Nim,Negamax,[14  7],2,1,0.3827318999974523,17,0.022513641
Nim,Negamax,[4 3],2,1,0.07845140001154505,17,0.004614788
Nimby,Negamax,[14  7],1,1,0.34463269999832846,18,0.019146262
Nimby,Negamax,[14  7],1,1,0.38962900001206435,16,0.024351813
Nimby,Negamax,[14  7],1,1,0.2586429000075441,14,0.018474493
Nimby,Negamax,[14  7],1,1,0.23817520000739023,16,0.01488595
Nimby,Negamax,[4 3],1,2,0.05430059999343939,21,0.0025857429
Nimby,Negamax,[4 3],1,2,0.047068299987586215,17,0.0027687235
Nimby,Negamax,[4 3],1,1,0.05902539999806322,22,0.0026829727
Nimby,Negamax,[4 3],1,2,0.04396180002368055,17,0.0025859883
Nimby,Negamax,[14  7],2,2,0.2987398999975994,20,0.014936995
Nimby,Negamax,[14  7],2,2,0.25413850002223626,16,0.015883656
Nimby,Negamax,[14  7],2,2,0.27677850000327453,18,0.015376584
Nimby,Negamax,[14  7],2,1,0.2770021000178531,19,0.014579058
Nimby,Negamax,[4 3],2,1,0.04187419998925179,17,0.0024631883
Nimby,Negamax,[4 3],2,1,0.05028019999735989,19,0.0026463263
Nimby,Negamax,[4 3],2,2,0.045627999992575496,18,0.002534889
Nimby,Negamax,[4 3],2,1,0.05708129997947253,21,0.0027181571
Nim,NoAlphaBetaNegamax,[14  7],1,1,0.6097588000120595,18,0.033875488
Nim,NoAlphaBetaNegamax,[4 3],1,1,0.16122149999137037,18,0.00895675
Nim,NoAlphaBetaNegamax,[14  7],2,1,0.4236864999984391,19,0.02229929
Nim,NoAlphaBetaNegamax,[4 3],2,1,0.11690809999709018,17,0.006876947
Nimby,NoAlphaBetaNegamax,[14  7],1,2,0.6046612999925856,19,0.03182428
Nimby,NoAlphaBetaNegamax,[14  7],1,2,0.538553199992748,19,0.028344905
Nimby,NoAlphaBetaNegamax,[14  7],1,1,0.4064238000137266,18,0.0225791
Nimby,NoAlphaBetaNegamax,[14  7],1,2,0.43845069999224506,19,0.023076352
Nimby,NoAlphaBetaNegamax,[4 3],1,1,0.12933200001134537,18,0.0071851113
Nimby,NoAlphaBetaNegamax,[4 3],1,2,0.1366054999816697,19,0.0071897632
Nimby,NoAlphaBetaNegamax,[4 3],1,2,0.15278579998994246,21,0.0072755143
Nimby,NoAlphaBetaNegamax,[4 3],1,1,0.13472319999709725,18,0.0074846223
Nimby,NoAlphaBetaNegamax,[14  7],2,2,0.41963940000277944,20,0.02098197
Nimby,NoAlphaBetaNegamax,[14  7],2,2,0.41107329999795184,20,0.020553665
Nimby,NoAlphaBetaNegamax,[14  7],2,2,0.4228838999988511,22,0.019221995
Nimby,NoAlphaBetaNegamax,[14  7],2,2,0.4480026999954134,20,0.022400135
Nimby,NoAlphaBetaNegamax,[4 3],2,1,0.1294054000172764,19,0.0068108104
Nimby,NoAlphaBetaNegamax,[4 3],2,1,0.11634130001766607,17,0.006843606
Nimby,NoAlphaBetaNegamax,[4 3],2,1,0.12442980002379045,19,0.006548937
Nimby,NoAlphaBetaNegamax,[4 3],2,1,0.14813869999488816,21,0.0070542237
Nim,ExpectedNegamax,[14  7],1,1,4.137308200006373,18,0.22985046
Nim,ExpectedNegamax,[4 3],1,2,0.0979380999924615,17,0.0057610646
Nim,ExpectedNegamax,[14  7],2,1,2.8054146000067703,17,0.16502438
Nim,ExpectedNegamax,[4 3],2,1,0.08942289999686182,17,0.0052601704
Nimby,ExpectedNegamax,[14  7],1,1,4.121621700003743,18,0.22897898
Nimby,ExpectedNegamax,[14  7],1,2,4.237463800003752,21,0.20178398
Nimby,ExpectedNegamax,[14  7],1,1,4.070838099985849,14,0.29077414
Nimby,ExpectedNegamax,[14  7],1,1,3.973654900008114,20,0.19868274
Nimby,ExpectedNegamax,[4 3],1,1,0.10132869999506511,18,0.0056293723
Nimby,ExpectedNegamax,[4 3],1,1,0.113521600025706,20,0.00567608
Nimby,ExpectedNegamax,[4 3],1,1,0.10760909999953583,20,0.005380455
Nimby,ExpectedNegamax,[4 3],1,2,0.1014001999865286,17,0.005964718
Nimby,ExpectedNegamax,[14  7],2,2,2.829795799974818,18,0.15721087
Nimby,ExpectedNegamax,[14  7],2,1,2.7971038999967277,17,0.16453552
Nimby,ExpectedNegamax,[14  7],2,1,3.0110067000205163,17,0.17711805
Nimby,ExpectedNegamax,[14  7],2,2,2.7841849000251386,18,0.15467694
Nimby,ExpectedNegamax,[4 3],2,1,0.09246039998834021,17,0.005438847
Nimby,ExpectedNegamax,[4 3],2,1,0.1109946999931708,21,0.005285462
Nimby,ExpectedNegamax,[4 3],2,1,0.10402430000249296,19,0.005474963
Nimby,ExpectedNegamax,[4 3],2,1,0.08947750000515953,17,0.0052633826
